Time.Date.Variation.Date Hierarchy.Month	Acme - Values.2021 Actuals	Acme - Values.2020 Actuals	Acme - Values.2021 Plan
January	80163753.56	69206897.26	78417234.31
February	80364208.81	84061294.39	80513440.43
March	103839745.3	86235082.51	90377316.43
April	100856109.3	93808007.06	96266008.96
May	104018138.2	93713506.95	109424695.3
June	117892018	103571216.5	116417847.2
July	122977119.8	104116737.4	118431197.5
August	105382626.8	108718743.4	116148801.8
September	94733687.51	105596462.7	113155892.5
October	90220540.23	90195650.02	99149006.13
November	81697543.92	86746594.62	86518654.2
December	75219827.69	75370667.32	84424560.58
