Retail - Orders.Region	Retail - Orders.Sub-Category	Retail - Values.2017 Sales	Retail - Values.2016 Sales	
Central	Phones	23211.156	19902.452	26335.129
East	Phones	36074.57	21290.356	26335.129
South	Phones	21363.27	11843.822	26335.129
West	Phones	24691.52	25925.4	26335.129
Central	Chairs	23218.465	23349.624	23888.58825
East	Chairs	31232.66	23010.483	23888.58825
South	Chairs	15656.308	6331.122	23888.58825
West	Chairs	25446.92	31227.416	23888.58825
Central	Binders	21105.376	14056.38	18197.01125
East	Binders	13989.141	18955.548	18197.01125
South	Binders	11143.362	4112.216	18197.01125
West	Binders	26550.166	12559.181	18197.01125
Central	Storage	13693.74	12811.512	17419.4045
East	Storage	20000.058	22096.058	17419.4045
South	Storage	10725.432	10840.396	17419.4045
West	Storage	25258.388	13040.734	17419.4045
Central	Copiers	3679.928	17499.95	15724.847
East	Copiers	24399.87	19759.77	15724.847
South	Copiers	5359.914	2559.888	15724.847
West	Copiers	29459.676	9779.802	15724.847
Central	Tables	10589.307	13922.926	15223.38562
East	Tables	11825.969	7825.328	15223.38562
South	Tables	14106.2615	12498.3115	15223.38562
West	Tables	24372.005	26586.635	15223.38562
Central	Accessories	10919.664	10802.214	14986.558
East	Accessories	14836.79	6231.378	14986.558
South	Accessories	8160.086	9379.844	14986.558
West	Accessories	26029.692	15482.418	14986.558
Central	Machines	5994.565	2658.789	10886.16875
East	Machines	11827.2	25215.938	10886.16875
South	Machines	9944.65	13238.6	10886.16875
West	Machines	15778.26	14793.559	10886.16875
Central	Appliances	8933.308	6015.011	10731.733
East	Appliances	12291.43	9426.582	10731.733
South	Appliances	7947.794	5607.47	10731.733
West	Appliances	13754.4	5001.252	10731.733
Central	Bookcases	5640.4772	8384.94	7506.069925
East	Bookcases	7338.222	5964.221	7506.069925
South	Bookcases	5157.266	3709.224	7506.069925
West	Bookcases	11888.3145	8217.0815	7506.069925
Central	Furnishings	5074.022	5115.692	7228.7735
East	Furnishings	10457.01	9587.14	7228.7735
South	Furnishings	3385.59	5382.784	7228.7735
West	Furnishings	9998.472	7788.508	7228.7735
Central	Paper	6235.28	5365.608	6923.6795
East	Paper	7361.656	4926.12	6923.6795
South	Paper	4739.992	3923.164	6923.6795
West	Paper	9357.79	6447.002	6923.6795
