Sales Trend.Year	Sales Trend.Month	Sum(Sales Trend.Actual)	Sum(Sales Trend.Order)	Sum(Sales Trend.Forecast)	
2018	Apr	1.69	4		
2018	Aug	1.56	8		
2018	Dec	1.61	12		
2018	Feb	1.63	2		
2018	Jan	1.61	1		
2018	Jul	1.54	7		
2018	Jun	1.87	6		
2018	Mar	1.74	3		
2018	May	1.8	5		
2018	Nov	1.59	11		
2018	Oct	1.57	10		
2018	Sep	1.61	9		
2019	Apr	1.91	16		
2019	Aug	2.11	20	2.11	2.11
2019	Dec	2.37	24	2.37	2.37
2019	Feb	1.8	14		
2019	Jan	1.58	13		
2019	Jul	2.07	19	2.07	2.07
2019	Jun	2.01	18	2.01	2.01
2019	Mar	1.89	15		
2019	May	1.97	17		
2019	Nov	2.31	23	2.31	2.31
2019	Oct	2.24	22	2.24	2.24
2019	Sep	2.17	21	2.17	2.17
