"Index","Year Ended December 31","Group 1","Value Column Name","Value"
"5","Total Revenues and Other Income","Year ended December 31","2019","146516"
"5","Total Revenues and Other Income","Year ended December 31","2018","166339"
"5","Total Revenues and Other Income","Year ended December 31","2017","141722"
"15","Total Costs and Other Deductions","Year ended December 31","2019","140980"
"15","Total Costs and Other Deductions","Year ended December 31","2018","145764"
"15","Total Costs and Other Deductions","Year ended December 31","2017","132501"
"2","Sales and other operating revenues","Year ended December 31","2019","139865"
"2","Sales and other operating revenues","Year ended December 31","2018","158902"
"2","Sales and other operating revenues","Year ended December 31","2017","134674"
"7","Purchased crude oil and products","Year ended December 31","2019","80113"
"7","Purchased crude oil and products","Year ended December 31","2018","94578"
"7","Purchased crude oil and products","Year ended December 31","2017","75765"
"11","Depreciation, depletion and amortization","Year ended December 31","2019","29218"
"11","Depreciation, depletion and amortization","Year ended December 31","2018","19419"
"11","Depreciation, depletion and amortization","Year ended December 31","2017","19349"
"16","Income before income tax expense","Year ended December 31","2019","5536"
"16","Income before income tax expense","Year ended December 31","2018","20575"
"16","Income before income tax expense","Year ended December 31","2017","9221"
"9","Selling, general and administrative expenses","Year ended December 31","2019","4143"
"9","Selling, general and administrative expenses","Year ended December 31","2018","3838"
"9","Selling, general and administrative expenses","Year ended December 31","2017","4110"
"12","Taxes other than on income","Year ended December 31","2019","4136"
"12","Taxes other than on income","Year ended December 31","2018","4867"
"12","Taxes other than on income","Year ended December 31","2017","12331"
"3","Income from equity affiliates","Year ended December 31","2019","3968"
"3","Income from equity affiliates","Year ended December 31","2018","6327"
"3","Income from equity affiliates","Year ended December 31","2017","4438"
"20","Net Income (Loss) Attributed to Chevron","Year ended December 31","2019","2924"
"20","Net Income (Loss) Attributed to Chevron","Year ended December 31","2018","14824"
"20","Net Income (Loss) Attributed to Chevron","Year ended December 31","2017","9195"
"18","Net Income (Loss)","Year ended December 31","2019","2845"
"18","Net Income (Loss)","Year ended December 31","2018","14860"
"18","Net Income (Loss)","Year ended December 31","2017","9269"
"17","Income tax expense (benefit)","Year ended December 31","2019","2691"
"17","Income tax expense (benefit)","Year ended December 31","2018","5715"
"17","Income tax expense (benefit)","Year ended December 31","2017","-48"
"4","Other income","Year ended December 31","2019","2683"
"4","Other income","Year ended December 31","2018","1110"
"4","Other income","Year ended December 31","2017","2610"
"13","Interest and debt expense","Year ended December 31","2019","798"
"13","Interest and debt expense","Year ended December 31","2018","748"
"13","Interest and debt expense","Year ended December 31","2017","307"
"10","Exploration expenses","Year ended December 31","2019","770"
"10","Exploration expenses","Year ended December 31","2018","1210"
"10","Exploration expenses","Year ended December 31","2017","864"
"23","- Basic","Year ended December 31","2019","1.55"
"23","- Basic","Year ended December 31","2018","7.81"
"23","- Basic","Year ended December 31","2017","4.88"
"24","- Diluted","Year ended December 31","2019","1.54"
"24","- Diluted","Year ended December 31","2018","7.74"
"24","- Diluted","Year ended December 31","2017","4.85"
"(Blank)","(Blank)","Year ended December 31","2019",
"(Blank)","(Blank)","Year ended December 31","2018",
"(Blank)","(Blank)","Year ended December 31","2017",
"1","Revenues and Other Income","Year ended December 31","2019",
"1","Revenues and Other Income","Year ended December 31","2018",
"1","Revenues and Other Income","Year ended December 31","2017",
"6","Costs and Other Deductions","Year ended December 31","2019",
"6","Costs and Other Deductions","Year ended December 31","2018",
"6","Costs and Other Deductions","Year ended December 31","2017",
"21","Per Share of Common Stock","Year ended December 31","2019",
"21","Per Share of Common Stock","Year ended December 31","2018",
"21","Per Share of Common Stock","Year ended December 31","2017",
"22","Net Income (Loss) Attributed to Chevron","Year ended December 31","2019",
"22","Net Income (Loss) Attributed to Chevron","Year ended December 31","2018",
"22","Net Income (Loss) Attributed to Chevron","Year ended December 31","2017",
"25","blank","Year ended December 31","2019",
"25","blank","Year ended December 31","2018",
"25","blank","Year ended December 31","2017",
"19","Less : Net income attributable to noncontrolling interests","Year ended December 31","2019","-79"
"19","Less : Net income attributable to noncontrolling interests","Year ended December 31","2018","36"
"19","Less : Net income attributable to noncontrolling interests","Year ended December 31","2017","74"
"14","Other components of net periodic benefit costs (2)","Year ended December 31","2019","-417"
"14","Other components of net periodic benefit costs (2)","Year ended December 31","2018","-560"
"14","Other components of net periodic benefit costs (2)","Year ended December 31","2017","-648"
"8","Operating expenses","Year ended December 31","2019","-21385"
"8","Operating expenses","Year ended December 31","2018","-20544"
"8","Operating expenses","Year ended December 31","2017","-19127"
