"Index","Description","Group 1","Value Column Name","Value"
"12","Aviation (GAAP)","Revenues","Revenues_2020","22042"
"12","Aviation (GAAP)","Revenues","Revenues_2019","32875"
"12","Aviation (GAAP)","Revenues","Revenues_V%","-0.33"
"12","Aviation (GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","1229"
"12","Aviation (GAAP)","Segment Profit (Loss)","Segment profit (loss)_2019","6812"
"12","Aviation (GAAP)","Segment Profit (Loss)","Segment profit (loss)_V%","-0.82"
"12","Aviation (GAAP)","Profit Margin","Profit Margin_2020","0.056"
"12","Aviation (GAAP)","Profit Margin","Profit Margin_2019","0.207"
"12","Aviation (GAAP)","Profit Margin","Profit Margin_V","-15.1"
"16","Aviation organic (Non-GAAP)","Revenues","Revenues_2020","22032"
"16","Aviation organic (Non-GAAP)","Revenues","Revenues_2019","32506"
"16","Aviation organic (Non-GAAP)","Revenues","Revenues_V%","-0.32"
"16","Aviation organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","1237"
"16","Aviation organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2019","6814"
"16","Aviation organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_V%","-0.82"
"16","Aviation organic (Non-GAAP)","Profit Margin","Profit Margin_2020","0.056"
"16","Aviation organic (Non-GAAP)","Profit Margin","Profit Margin_2019","0.21"
"16","Aviation organic (Non-GAAP)","Profit Margin","Profit Margin_V","-15.4"
"17","Healthcare (GAAP)","Revenues","Revenues_2020","18009"
"17","Healthcare (GAAP)","Revenues","Revenues_2019","19942"
"17","Healthcare (GAAP)","Revenues","Revenues_V%","-0.1"
"17","Healthcare (GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","3060"
"17","Healthcare (GAAP)","Segment Profit (Loss)","Segment profit (loss)_2019","3737"
"17","Healthcare (GAAP)","Segment Profit (Loss)","Segment profit (loss)_V%","-0.18"
"17","Healthcare (GAAP)","Profit Margin","Profit Margin_2020","0.17"
"17","Healthcare (GAAP)","Profit Margin","Profit Margin_2019","0.187"
"17","Healthcare (GAAP)","Profit Margin","Profit Margin_V","-1.7"
"21","Healthcare organic (Non-GAAP)","Revenues","Revenues_2020","17979"
"21","Healthcare organic (Non-GAAP)","Revenues","Revenues_2019","17318"
"21","Healthcare organic (Non-GAAP)","Revenues","Revenues_V%","0.04"
"21","Healthcare organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","3081"
"21","Healthcare organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2019","2630"
"21","Healthcare organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_V%","0.17"
"21","Healthcare organic (Non-GAAP)","Profit Margin","Profit Margin_2020","0.171"
"21","Healthcare organic (Non-GAAP)","Profit Margin","Profit Margin_2019","0.152"
"21","Healthcare organic (Non-GAAP)","Profit Margin","Profit Margin_V","1.9"
"5","Power organic (Non-GAAP)","Revenues","Revenues_2020","17619"
"5","Power organic (Non-GAAP)","Revenues","Revenues_2019","18502"
"5","Power organic (Non-GAAP)","Revenues","Revenues_V%","-0.05"
"5","Power organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","266"
"5","Power organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_2019","287"
"5","Power organic (Non-GAAP)","Segment Profit (Loss)","Segment profit (loss)_V%","-0.07"
"5","Power organic (Non-GAAP)","Profit Margin","Profit Margin_2020","0.015"
"5","Power organic (Non-GAAP)","Profit Margin","Profit Margin_2019","0.016"
"5","Power organic (Non-GAAP)","Profit Margin","Profit Margin_V","-0.1"
"1","Power (GAAP)","Revenues","Revenues_2020","17589"
"1","Power (GAAP)","Revenues","Revenues_2019","18625"
"1","Power (GAAP)","Revenues","Revenues_V%","-0.06"
"1","Power (GAAP)","Segment Profit (Loss)","Segment profit (loss)_2020","274"
