forbes_billionaires_geo.Rank,forbes_billionaires_geo.Name,forbes_billionaires_geo.Country,forbes_billionaires_geo.Source,Sum(forbes_billionaires_geo.Age),Sum(forbes_billionaires_geo.NetWorth),Sum(forbes_billionaires_geo.Children)
1362,Alexander Mamut,Russia,investments,61,2.3,5
1362,Anand Burman,India,consumer goods,69,2.3,2
1362,Andrew Paradise,United States,â˜…,39,2.3,
1362,Aristotelis Mistakidis,Greece,"mining, commodities",59,2.3,1
1362,Arkady Volozh,Russia,search engine,57,2.3,3
1362,Baba Kalyani,India,engineering,72,2.3,1
1362,Bang Jun-hyuk,South Korea,online gaming,52,2.3,3
1362,Bang Shi-hyuk,South Korea,entertainment,48,2.3,
1362,Barry Zekelman,Canada,steel,54,2.3,
1362,Bill Alfond,United States,shoes,72,2.3,3
1362,Bill and Jean Adderley & family,United Kingdom,home furnishings,73,2.3,2
1362,Bob Ell,Australia,real estate,76,2.3,5
1362,Boris Jordan,United States,cannabis,54,2.3,5
1362,Cao Longxiang & family,China,pharmaceuticals,63,2.3,
1362,Carlos Ardila LÃ¼lle,Colombia,"soft drinks, diversified",90,2.3,
1362,Charlotte Soderstrom,Sweden,H&M,44,2.3,3
1362,Chen Zhisong,China,communication equipment,55,2.3,
1362,Clayton Mathile,United States,pet food,80,2.3,5
1362,Daniel Mate,Spain,"mining, commodities",57,2.3,2
1362,David Hains,Australia,investments,90,2.3,5
1362,David Jiang,China,e-cigarettes,42,2.3,
1362,David Xueling Li,China,live streaming service,48,2.3,
1362,Deng Yingzhong,China,paper,70,2.3,
1362,"Edward DeBartolo, Jr.",United States,shopping centers,74,2.3,3
1362,Eiichi Kuriwada,Japan,package delivery,74,2.3,3
1362,Elaine Wynn,United States,"casinos, hotels",79,2.3,2
1362,Eugene Murtagh,Ireland,building materials,78,2.3,5
1362,Fernando Roberto Moreira Salles,Brazil,"banking, minerals",74,2.3,2
1362,Fong Yun Wah,Hong Kong,real estate,96,2.3,8
1362,Gretel Packer,Australia,casinos,55,2.3,3
1362,Guan Yihong,China,restaurant,,2.3,
1362,Harsh Goenka,India,diversified,63,2.3,2
