forbes_billionaires_geo.Rank,forbes_billionaires_geo.Name,forbes_billionaires_geo.Country,forbes_billionaires_geo.Source,Sum(forbes_billionaires_geo.NetWorth),Sum(forbes_billionaires_geo.Age),Sum(forbes_billionaires_geo.Children)
1362,Alexander Mamut,Russia,investments,2.3,61,5
1362,Anand Burman,India,consumer goods,2.3,69,2
1362,Andrew Paradise,United States,â˜…,2.3,39,
1362,Aristotelis Mistakidis,Greece,"mining, commodities",2.3,59,1
1362,Arkady Volozh,Russia,search engine,2.3,57,3
1362,Baba Kalyani,India,engineering,2.3,72,1
1362,Bang Jun-hyuk,South Korea,online gaming,2.3,52,3
1362,Bang Shi-hyuk,South Korea,entertainment,2.3,48,
1362,Barry Zekelman,Canada,steel,2.3,54,
1362,Bill Alfond,United States,shoes,2.3,72,3
1362,Bill and Jean Adderley & family,United Kingdom,home furnishings,2.3,73,2
1362,Bob Ell,Australia,real estate,2.3,76,5
1362,Boris Jordan,United States,cannabis,2.3,54,5
1362,Cao Longxiang & family,China,pharmaceuticals,2.3,63,
1362,Carlos Ardila LÃ¼lle,Colombia,"soft drinks, diversified",2.3,90,
1362,Charlotte Soderstrom,Sweden,H&M,2.3,44,3
1362,Chen Zhisong,China,communication equipment,2.3,55,
1362,Clayton Mathile,United States,pet food,2.3,80,5
1362,Daniel Mate,Spain,"mining, commodities",2.3,57,2
1362,David Hains,Australia,investments,2.3,90,5
1362,David Jiang,China,e-cigarettes,2.3,42,
1362,David Xueling Li,China,live streaming service,2.3,48,
1362,Deng Yingzhong,China,paper,2.3,70,
1362,"Edward DeBartolo, Jr.",United States,shopping centers,2.3,74,3
1362,Eiichi Kuriwada,Japan,package delivery,2.3,74,3
1362,Elaine Wynn,United States,"casinos, hotels",2.3,79,2
1362,Eugene Murtagh,Ireland,building materials,2.3,78,5
1362,Fernando Roberto Moreira Salles,Brazil,"banking, minerals",2.3,74,2
1362,Fong Yun Wah,Hong Kong,real estate,2.3,96,8
1362,Gretel Packer,Australia,casinos,2.3,55,3
1362,Guan Yihong,China,restaurant,2.3,,
1362,Harsh Goenka,India,diversified,2.3,63,2
1362,Hua Xuande & family,China,pharmaceuticals,2.3,77,
1362,Jared Isaacman,United States,payment processing,2.3,38,
1362,Jerry Yang,United States,Yahoo,2.3,52,2
1362,Jiang Weiping & family,China,chemicals,2.3,66,
1362,Jim Coulter,United States,private equity,2.3,61,3
1362,Jim Kavanaugh,United States,IT provider,2.3,58,
1362,Jitendra Virwani,India,real estate,2.3,55,4
1362,Joao Moreira Salles,Brazil,"banking, minerals",2.3,59,1
1362,Joseph Grendys,United States,poultry processing,2.3,59,
1362,"Karl Scheufele, III. & family",Switzerland,jewelry,2.3,82,2
1362,Karl-Johan Persson,Sweden,H&M,2.3,46,2
1362,Katsumi Tada,Japan,real estate,2.3,75,3
1362,Kostyantin Zhevago,Ukraine,mining,2.3,47,2
1362,Krit Ratanarak,Thailand,"media, real estate",2.3,75,1
1362,Lai Jianfa,China,express delivery,2.3,,
1362,Lam Kong,China,pharmaceuticals,2.3,56,
1362,Lang Walker,Australia,real estate,2.3,75,3
1362,Li Xuhui,China,soy sauce,2.3,52,
1362,Liang Zhaoxian,China,appliances,2.3,56,
1362,Lindsay Fox,Australia,"logistics, real estate",2.3,84,5
1362,Liu Ming Chung,Brazil,paper,2.3,58,
1362,Maria Del Pino,Spain,construction,2.3,65,3
1362,Mario Germano Giuliani,Switzerland,pharmaceuticals,2.3,49,
1362,Michael Hintze,Australia,investment,2.3,67,4
1362,Michael Saylor,United States,cryptocurrency,2.3,56,
1362,Mustafa Rahmi Koc,Turkey,diversified,2.3,90,3
1362,Nihat Ozdemir,Turkey,diversified,2.3,71,2
1362,Noam Gottesman,United States,hedge funds,2.3,59,4
1362,Sandeep Engineer,India,plastic pipes,2.3,59,2
1362,Semahat Sevim Arsel,Turkey,diversified,2.3,92,
1362,Sezai Bacaksiz,Turkey,diversified,2.3,71,2
1362,Stephan Schmidheiny,Switzerland,investments,2.3,73,2
1362,Stewart Horejsi & family,United States,Berkshire Hathaway,2.3,83,2
1362,Stewart Rahr,United States,drug distribution,2.3,75,2
1362,Suhail Bahwan,Oman,diversified,2.3,82,15
1362,Sun Huaiqing & family,China,cosmetics,2.3,51,
1362,Susan Alfond,United States,shoes,2.3,75,3
1362,Sze Man Bok,China,hygiene products,2.3,71,1
1362,Ted Alfond,United States,shoes,2.3,76,3
1362,Ted Turner,United States,cable television,2.3,82,5
1362,Tom Persson,Sweden,H&M,2.3,36,
1362,Vanich Chaiyawan,Thailand,"insurance, beverages",2.3,89,8
1362,Vijay Shekhar Sharma,India,financial technology,2.3,42,1
1362,Walther Moreira Salles Junior,Brazil,"banking, minerals",2.3,65,1
1362,Wei Ying-Chiao,Taiwan,"food, beverages",2.3,66,5
1362,Wu Zhongyi,China,electronics,2.3,47,
1362,Xu Chuanhua & family,China,"chemicals, logistics",2.3,86,2
1362,Yang Weidong & family,China,chemicals,2.3,52,
1362,Zhang Xuezheng,China,telecom,2.3,45,
1362,Zhang Yin,China,paper manufacturing,2.3,64,2
1,Jeff Bezos,United States,Amazon,177,57,4
1111,Abdulla bin Ahmad Al Ghurair & family,United Arab Emirates,diversified,2.8,,
1111,Alan Howard,United Kingdom,hedge funds,2.8,57,4
1111,Alfred Oetker,Germany,consumer goods,2.8,54,
