"Team","Year","Value Column Name","Value"
"United States","1998","Total No. of Medals Won for Women","27"
"United States","1998","No. of Gold Medals won By Female","23"
"United States","1998","Medals Won By Women %","0.9"
"United States","1998","Total No. of Female Participants","77"
"United States","1998","Female Participants%","0.463855421686747"
"United States","2000","Total No. of Medals Won for Women","124"
"United States","2000","No. of Gold Medals won By Female","62"
"United States","2000","Medals Won By Women %","0.5166666666666667"
"United States","2000","Total No. of Female Participants","248"
"United States","2000","Female Participants%","0.43130434782608695"
"United States","2002","Total No. of Medals Won for Women","29"
"United States","2002","No. of Gold Medals won By Female","4"
"United States","2002","Medals Won By Women %","0.4142857142857143"
"United States","2002","Total No. of Female Participants","79"
"United States","2002","Female Participants%","0.4463276836158192"
"United States","2004","Total No. of Medals Won for Women","142"
"United States","2004","No. of Gold Medals won By Female","63"
"United States","2004","Medals Won By Women %","0.5482625482625483"
"United States","2004","Total No. of Female Participants","248"
"United States","2004","Female Participants%","0.4760076775431862"
"United States","2006","Total No. of Medals Won for Women","26"
"United States","2006","No. of Gold Medals won By Female","2"
"United States","2006","Medals Won By Women %","0.5416666666666666"
"United States","2006","Total No. of Female Participants","78"
"United States","2006","Female Participants%","0.43820224719101125"
"United States","2008","Total No. of Medals Won for Women","158"
"United States","2008","No. of Gold Medals won By Female","54"
"United States","2008","Medals Won By Women %","0.511326860841424"
"United States","2008","Total No. of Female Participants","276"
"United States","2008","Female Participants%","0.4791666666666667"
"United States","2010","Total No. of Medals Won for Women","35"
"United States","2010","No. of Gold Medals won By Female","2"
"United States","2010","Medals Won By Women %","0.39325842696629215"
"United States","2010","Total No. of Female Participants","81"
"United States","2010","Female Participants%","0.45"
"United States","2012","Total No. of Medals Won for Women","153"
"United States","2012","No. of Gold Medals won By Female","99"
"United States","2012","Medals Won By Women %","0.6428571428571429"
"United States","2012","Total No. of Female Participants","262"
"United States","2012","Female Participants%","0.5067698259187621"
"United States","2014","Total No. of Medals Won for Women","34"
"United States","2014","No. of Gold Medals won By Female","4"
"United States","2014","Medals Won By Women %","0.6538461538461539"
"United States","2014","Total No. of Female Participants","91"
"United States","2014","Female Participants%","0.457286432160804"
"United States","2016","Total No. of Medals Won for Women","145"
