athlete_events.Name,athlete_events.Sex,athlete_events.Sport,athlete_events.Team,Measure.Total No. of Medals Won,Measure.No. of Gold Medals,Measure.No. of  Silver Medals,Measure.No. of Bronze Medals
"Michael Fred Phelps, II",M,Swimming,United States,28,23,3,2
Larysa Semenivna Latynina (Diriy-),F,Gymnastics,Soviet Union,18,9,5,4
Nikolay Yefimovich Andrianov,M,Gymnastics,Soviet Union,15,7,5,3
Borys Anfiyanovych Shakhlin,M,Gymnastics,Soviet Union,13,7,4,2
Edoardo Mangiarotti,M,Fencing,Italy,13,6,5,2
Ole Einar Bjrndalen,M,Biathlon,Norway,13,8,4,1
Takashi Ono,M,Gymnastics,Japan,13,5,4,4
Aleksey Yuryevich Nemov,M,Gymnastics,Russia,12,4,2,6
"Dara Grace Torres (-Hoffman, -Minas)",F,Swimming,United States,12,4,4,4
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,Swimming,United States,12,8,3,1
Natalie Anne Coughlin (-Hall),F,Swimming,United States,12,3,4,5
Paavo Johannes Nurmi,M,Athletics,Finland,12,9,3,0
Ryan Steven Lochte,M,Swimming,United States,12,6,3,3
Sawao Kato,M,Gymnastics,Japan,12,8,3,1
Carl Townsend Osburn,M,Shooting,United States,11,5,4,2
Mark Andrew Spitz,M,Swimming,United States,11,9,1,1
"Matthew Nicholas ""Matt"" Biondi",M,Swimming,United States,11,8,2,1
Viktor Ivanovych Chukarin,M,Gymnastics,Soviet Union,11,7,3,1
Vra slavsk (-Odloilov),F,Gymnastics,Czechoslovakia,11,7,4,0
Akinori Nakayama,M,Gymnastics,Japan,10,6,2,2
Aladr Gerevich (-Gerei),M,Fencing,Hungary,10,7,1,2
Aleksandr Nikolayevich Dityatin,M,Gymnastics,Soviet Union,10,3,6,1
Franziska van Almsick,F,Swimming,Germany,10,0,4,6
"Frederick Carlton ""Carl"" Lewis",M,Athletics,United States,10,9,1,0
"Gary Wayne Hall, Jr.",M,Swimming,United States,10,5,3,2
Gerard Theodor Hubert Van Innis,M,Archery,Belgium,10,6,4,0
gnes Keleti-Srkny (Klein),F,Gymnastics,Hungary,10,5,3,2
Marit Bjrgen,F,Cross Country Skiing,Norway,10,6,3,1
Polina Hryhorivna Astakhova,F,Gymnastics,Soviet Union,10,5,2,3
"Raymond Clarence ""Ray"" Ewry",M,Athletics,United States,10,10,0,0
Stefania Belmondo,F,Cross Country Skiing,Italy,10,2,3,5
Yang Yang,F,Short Track Speed Skating,China,10,2,6,2
