Date Table.Date.Variation.Date Hierarchy.Month,Date Table.Date.Variation.Date Hierarchy.Year,Superstore.Region,Superstore.State,Sum(Superstore.Sales),Sum(Superstore.Cost),CountNonNull(Superstore.Order ID),CountNonNull(Superstore.Product Name),CountNonNull(Superstore.Customer Name)
January,2015,Central,Illinois,288.06,352.85009999999994,3,3,3
February,2015,Central,Illinois,72.01,89.8895,3,3,3
March,2015,Central,Illinois,1323.064,1328.6464,6,6,6
April,2015,Central,Illinois,101.728,93.69839999999999,2,2,2
May,2015,Central,Illinois,1840.899,2264.1857,11,11,11
June,2015,Central,Illinois,597.409,858.1838,9,9,9
July,2015,Central,Illinois,251.452,305.48720000000003,5,5,5
August,2015,Central,Illinois,421.372,427.0916,1,1,1
September,2015,Central,Illinois,2729.012,3751.444200000001,13,13,13
October,2015,Central,Illinois,4222.947,3744.3031,11,11,11
November,2015,Central,Illinois,2654.576,3038.9387,13,13,13
December,2015,Central,Illinois,1700.178,1948.7250000000001,28,28,28
January,2016,Central,Illinois,254.744,566.2054,1,1,1
February,2016,Central,Illinois,479.952,389.761,1,1,1
March,2016,Central,Illinois,1203.274,1817.9933999999998,10,10,10
April,2016,Central,Illinois,2045.725,1657.697,5,5,5
May,2016,Central,Illinois,1234.017,1644.3456999999999,12,12,12
June,2016,Central,Illinois,941.929,1858.929,3,3,3
July,2016,Central,Illinois,4506.047,4600.3336,16,16,16
August,2016,Central,Illinois,2859.808,1988.1185,5,5,5
September,2016,Central,Illinois,348.816,382.1196,6,6,6
October,2016,Central,Illinois,464.912,403.25079999999997,5,5,5
November,2016,Central,Illinois,1592.848,1725.5091,14,14,14
December,2016,Central,Illinois,2645.992,2517.8972999999996,16,16,16
January,2017,Central,Illinois,2224.308,2566.9128,4,4,4
February,2017,Central,Illinois,167.182,390.2914,4,4,4
March,2017,Central,Illinois,2568.444,2828.3334,11,11,11
April,2017,Central,Illinois,503.88,779.5400999999999,8,8,8
May,2017,Central,Illinois,4006.611,3889.953,20,20,20
June,2017,Central,Illinois,3420.982,3618.2293,18,18,18
July,2017,Central,Illinois,1397.268,1391.7389,7,7,7
August,2017,Central,Illinois,166.368,162.1535,4,4,4
September,2017,Central,Illinois,4439.484,5784.6067,19,19,19
October,2017,Central,Illinois,104.036,93.0048,4,4,4
November,2017,Central,Illinois,796.208,1077.8948,12,12,12
December,2017,Central,Illinois,1238.948,1211.9542000000001,10,10,10
January,2018,Central,Illinois,2428.783,2136.9339999999997,9,9,9
February,2018,Central,Illinois,1824.91,1946.5864000000001,12,12,12
March,2018,Central,Illinois,1429.942,1097.6647,10,10,10
April,2018,Central,Illinois,1120.916,1287.0449,11,11,11
May,2018,Central,Illinois,1053.815,1007.6662000000001,13,13,13
June,2018,Central,Illinois,2852.339,3456.1685,20,20,20
July,2018,Central,Illinois,1523.256,1824.4823000000001,14,14,14
August,2018,Central,Illinois,516.532,551.5441,10,10,10
September,2018,Central,Illinois,4069.581,6125.962,22,22,22
October,2018,Central,Illinois,2402.156,3182.0443,17,17,17
November,2018,Central,Illinois,1227.371,1377.3857000000003,12,12,12
December,2018,Central,Illinois,3902.01,7038.387899999998,22,22,22
January,2015,Central,Indiana,5.94,5.94,1,1,1
February,2015,Central,Indiana,82.63,53.2896,2,2,2
March,2015,Central,Indiana,16.28,9.768,1,1,1
April,2015,Central,Indiana,32.4,16.848,1,1,1
May,2015,Central,Indiana,,,,,
June,2015,Central,Indiana,647.84,615.448,1,1,1
July,2015,Central,Indiana,,,,,
August,2015,Central,Indiana,,,,,
September,2015,Central,Indiana,,,,,
October,2015,Central,Indiana,464.2,373.55780000000004,3,3,3
November,2015,Central,Indiana,372.62,235.459,5,5,5
December,2015,Central,Indiana,1314.9,758.352,3,3,3
January,2016,Central,Indiana,,,,,
February,2016,Central,Indiana,,,,,
March,2016,Central,Indiana,196.65,119.9845,4,4,4
April,2016,Central,Indiana,209.55,136.1971,4,4,4
May,2016,Central,Indiana,138.32,97.3602,2,2,2
June,2016,Central,Indiana,24.56,17.6832,1,1,1
July,2016,Central,Indiana,1238.33,958.7787999999999,6,6,6
August,2016,Central,Indiana,11.36,5.7936,1,1,1
September,2016,Central,Indiana,1931.34,1501.4107999999999,4,4,4
October,2016,Central,Indiana,412.24,300.03159999999997,3,3,3
November,2016,Central,Indiana,1443.97,945.6119,9,9,9
December,2016,Central,Indiana,1034,567.3392,2,2,2
January,2017,Central,Indiana,,,,,
February,2017,Central,Indiana,,,,,
March,2017,Central,Indiana,285.73,173.4312,3,3,3
April,2017,Central,Indiana,331.08,184.252,2,2,2
May,2017,Central,Indiana,21.4,15.194,1,1,1
June,2017,Central,Indiana,440.91,317.4552,1,1,1
July,2017,Central,Indiana,,,,,
August,2017,Central,Indiana,,,,,
September,2017,Central,Indiana,238.11,177.22570000000002,4,4,4
October,2017,Central,Indiana,18448.49,9656.346899999999,7,7,7
November,2017,Central,Indiana,3641.91,2972.8565,13,13,13
December,2017,Central,Indiana,2054.15,1579.8845999999999,4,4,4
January,2018,Central,Indiana,358.7,247.5206,8,8,8
February,2018,Central,Indiana,,,,,
March,2018,Central,Indiana,367.49,208.9741,4,4,4
April,2018,Central,Indiana,155.34,99.4176,1,1,1
May,2018,Central,Indiana,2751.97,1849.7468000000001,9,9,9
June,2018,Central,Indiana,4998.77,3594.817,6,6,6
July,2018,Central,Indiana,1337.71,1185.4963,6,6,6
August,2018,Central,Indiana,2800.66,1956.0847999999999,8,8,8
September,2018,Central,Indiana,,,,,
October,2018,Central,Indiana,909.12,900.0288,1,1,1
November,2018,Central,Indiana,3980.31,2662.2982,10,10,10
December,2018,Central,Indiana,856.38,672.5400999999999,8,8,8
January,2015,Central,Iowa,,,,,
February,2015,Central,Iowa,,,,,
March,2015,Central,Iowa,1190.84,1081.3388,2,2,2
April,2015,Central,Iowa,,,,,
May,2015,Central,Iowa,,,,,
June,2015,Central,Iowa,,,,,
July,2015,Central,Iowa,,,,,
August,2015,Central,Iowa,,,,,
September,2015,Central,Iowa,,,,,
October,2015,Central,Iowa,,,,,
November,2015,Central,Iowa,,,,,
December,2015,Central,Iowa,,,,,
January,2016,Central,Iowa,,,,,
February,2016,Central,Iowa,,,,,
March,2016,Central,Iowa,,,,,
April,2016,Central,Iowa,,,,,
May,2016,Central,Iowa,,,,,
June,2016,Central,Iowa,,,,,
July,2016,Central,Iowa,,,,,
August,2016,Central,Iowa,,,,,
September,2016,Central,Iowa,1449.24,1035.423,3,3,3
October,2016,Central,Iowa,,,,,
November,2016,Central,Iowa,263.96,187.4116,1,1,1
December,2016,Central,Iowa,,,,,
January,2017,Central,Iowa,,,,,
February,2017,Central,Iowa,,,,,
March,2017,Central,Iowa,,,,,
April,2017,Central,Iowa,,,,,
May,2017,Central,Iowa,,,,,
June,2017,Central,Iowa,,,,,
July,2017,Central,Iowa,,,,,
August,2017,Central,Iowa,6.48,3.3696,1,1,1
September,2017,Central,Iowa,288.39,203.15849999999998,2,2,2
October,2017,Central,Iowa,,,,,
November,2017,Central,Iowa,548.6,383.3052,4,4,4
December,2017,Central,Iowa,115.84,61.3952,1,1,1
January,2018,Central,Iowa,476.42,310.60519999999997,10,10,10
February,2018,Central,Iowa,,,,,
March,2018,Central,Iowa,,,,,
April,2018,Central,Iowa,106.32,56.3496,1,1,1
May,2018,Central,Iowa,,,,,
June,2018,Central,Iowa,,,,,
July,2018,Central,Iowa,30.32,18.4952,1,1,1
August,2018,Central,Iowa,,,,,
September,2018,Central,Iowa,,,,,
October,2018,Central,Iowa,,,,,
November,2018,Central,Iowa,45.92,24.3376,1,1,1
December,2018,Central,Iowa,57.43,30.758599999999998,3,3,3
January,2015,Central,Kansas,,,,,
February,2015,Central,Kansas,,,,,
March,2015,Central,Kansas,,,,,
April,2015,Central,Kansas,,,,,
May,2015,Central,Kansas,,,,,
June,2015,Central,Kansas,,,,,
July,2015,Central,Kansas,,,,,
August,2015,Central,Kansas,,,,,
September,2015,Central,Kansas,787.85,607.4242,4,4,4
October,2015,Central,Kansas,257.98,183.1658,1,1,1
November,2015,Central,Kansas,273.96,263.0016,1,1,1
December,2015,Central,Kansas,,,,,
January,2016,Central,Kansas,,,,,
February,2016,Central,Kansas,21.11,13.2879,3,3,3
March,2016,Central,Kansas,,,,,
April,2016,Central,Kansas,,,,,
May,2016,Central,Kansas,149.2,80.9876,2,2,2
June,2016,Central,Kansas,,,,,
July,2016,Central,Kansas,,,,,
August,2016,Central,Kansas,,,,,
September,2016,Central,Kansas,,,,,
October,2016,Central,Kansas,,,,,
November,2016,Central,Kansas,,,,,
December,2016,Central,Kansas,,,,,
January,2017,Central,Kansas,,,,,
February,2017,Central,Kansas,,,,,
March,2017,Central,Kansas,,,,,
April,2017,Central,Kansas,,,,,
May,2017,Central,Kansas,,,,,
June,2017,Central,Kansas,18.9,10.206,1,1,1
July,2017,Central,Kansas,,,,,
August,2017,Central,Kansas,,,,,
September,2017,Central,Kansas,332.69,242.77499999999998,2,2,2
October,2017,Central,Kansas,,,,,
November,2017,Central,Kansas,186.95,101.652,2,2,2
December,2017,Central,Kansas,152.52,105.58080000000001,2,2,2
January,2018,Central,Kansas,279.9,142.749,1,1,1
February,2018,Central,Kansas,,,,,
March,2018,Central,Kansas,,,,,
April,2018,Central,Kansas,,,,,
May,2018,Central,Kansas,,,,,
June,2018,Central,Kansas,,,,,
July,2018,Central,Kansas,373.94,274.0036,2,2,2
August,2018,Central,Kansas,,,,,
September,2018,Central,Kansas,,,,,
October,2018,Central,Kansas,,,,,
November,2018,Central,Kansas,79.31,53.032999999999994,3,3,3
