Sub-Category,Product Name,Value Column Name,Value
"Phones","Samsung Galaxy Mega 6.3","Sales","13943.668"
"Phones","Samsung Galaxy Mega 6.3","Sales Margin %","0.6626506024096385"
"Phones","Samsung Galaxy Mega 6.3","Profit","1822.7566"
"Phones","Samsung Galaxy Mega 6.3","Profit Margin %","0.13072289156626507"
"Phones","Samsung Galaxy Mega 6.3","Count of Customer Name","6"
"Phones","Apple iPhone 5","Sales","12996.6"
"Phones","Apple iPhone 5","Sales Margin %","0.19000000000000009"
"Phones","Apple iPhone 5","Profit","1611.5784"
"Phones","Apple iPhone 5","Profit Margin %","0.124"
"Phones","Apple iPhone 5","Count of Customer Name","6"
"Phones","Wilson Electronics DB Pro Signal Booster","Sales","8878.4"
"Phones","Wilson Electronics DB Pro Signal Booster","Sales Margin %","0.3709677419354838"
"Phones","Wilson Electronics DB Pro Signal Booster","Profit","515.5200000000002"
"Phones","Wilson Electronics DB Pro Signal Booster","Profit Margin %","0.05806451612903228"
"Phones","Wilson Electronics DB Pro Signal Booster","Count of Customer Name","10"
"Phones","Mitel MiVoice 5330e IP Phone","Sales","7699.72"
"Phones","Mitel MiVoice 5330e IP Phone","Sales Margin %","0.21428571428571436"
"Phones","Mitel MiVoice 5330e IP Phone","Profit","780.9715999999999"
"Phones","Mitel MiVoice 5330e IP Phone","Profit Margin %","0.10142857142857141"
"Phones","Mitel MiVoice 5330e IP Phone","Count of Customer Name","9"
"Phones","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Sales","7139.796"
"Phones","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Sales Margin %","0.5784313725490196"
"Phones","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Profit","83.99760000000003"
"Phones","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Profit Margin %","0.011764705882352946"
"Phones","Samsung Galaxy S III - 16GB - pebble blue (T-Mobile)","Count of Customer Name","6"
"Phones","Cisco Unified IP Phone 7945G VoIP phone","Sales","6751.602"
"Phones","Cisco Unified IP Phone 7945G VoIP phone","Sales Margin %","0"
"Phones","Cisco Unified IP Phone 7945G VoIP phone","Profit","102.29699999999997"
"Phones","Cisco Unified IP Phone 7945G VoIP phone","Profit Margin %","0.015151515151515147"
"Phones","Cisco Unified IP Phone 7945G VoIP phone","Count of Customer Name","6"
"Phones","ClearOne CHATAttach 160 - speaker phone","Sales","6695.892"
"Phones","ClearOne CHATAttach 160 - speaker phone","Sales Margin %","0.3703703703703704"
"Phones","ClearOne CHATAttach 160 - speaker phone","Profit","1053.983"
"Phones","ClearOne CHATAttach 160 - speaker phone","Profit Margin %","0.1574074074074074"
"Phones","ClearOne CHATAttach 160 - speaker phone","Count of Customer Name","4"
"Phones","Polycom VVX 310 VoIP phone","Sales","6227.654"
"Phones","Polycom VVX 310 VoIP phone","Sales Margin %","0.23121387283236994"
"Phones","Polycom VVX 310 VoIP phone","Profit","899.9499999999999"
"Phones","Polycom VVX 310 VoIP phone","Profit Margin %","0.1445086705202312"
"Phones","Polycom VVX 310 VoIP phone","Count of Customer Name","8"
"Phones","Samsung Galaxy S4","Sales","6134.702"
"Phones","Samsung Galaxy S4","Sales Margin %","0.489795918367347"
"Phones","Samsung Galaxy S4","Profit","438.193"
"Phones","Samsung Galaxy S4","Profit Margin %","0.07142857142857142"
"Phones","Samsung Galaxy S4","Count of Customer Name","5"
"Phones","Samsung Galaxy S4 Mini","Sales","6109.87"
"Phones","Samsung Galaxy S4 Mini","Sales Margin %","0.5076923076923077"
