GEO (Labels),Level ,Value Column Name,Value
"Andalucía","All Levels","Unemployment","315.8"
"Andalucía","Levels 0-2","Unemployment","408.1000000000001"
"Andalucía","Levels 3 - 4","Unemployment","290.20000000000005"
"Andalucía","Levels 5 - 8","Unemployment","189.5"
"Sur (ES)","All Levels","Unemployment","304.4"
"Sur (ES)","Levels 0-2","Unemployment","393.09999999999997"
"Sur (ES)","Levels 3 - 4","Unemployment","282.7"
"Sur (ES)","Levels 5 - 8","Unemployment","180.7"
"Canarias","All Levels","Unemployment","298.5"
"Canarias","Levels 0-2","Unemployment","374.20000000000005"
"Canarias","Levels 3 - 4","Unemployment","283"
"Canarias","Levels 5 - 8","Unemployment","201.29999999999998"
"Dytiki Makedonia","All Levels","Unemployment","289.9"
"Dytiki Makedonia","Levels 0-2","Unemployment","267.7"
"Dytiki Makedonia","Levels 3 - 4","Unemployment","328.59999999999997"
"Dytiki Makedonia","Levels 5 - 8","Unemployment","249"
"Ciudad de Melilla","All Levels","Unemployment","301.90000000000003"
"Ciudad de Melilla","Levels 0-2","Unemployment","460.7000000000001"
"Ciudad de Melilla","Levels 3 - 4","Unemployment","245.20000000000002"
"Ciudad de Melilla","Levels 5 - 8","Unemployment","119.19999999999999"
"North Macedonia","All Levels","Unemployment","278.1"
"North Macedonia","Levels 0-2","Unemployment","335.09999999999997"
"North Macedonia","Levels 3 - 4","Unemployment","278.79999999999995"
"North Macedonia","Levels 5 - 8","Unemployment","218.3"
"Severna Makedonija","All Levels","Unemployment","278.1"
"Severna Makedonija","Levels 0-2","Unemployment","335.09999999999997"
"Severna Makedonija","Levels 3 - 4","Unemployment","278.79999999999995"
"Severna Makedonija","Levels 5 - 8","Unemployment","218.3"
"Extremadura","All Levels","Unemployment","294.90000000000003"
"Extremadura","Levels 0-2","Unemployment","369.1"
"Extremadura","Levels 3 - 4","Unemployment","259.8"
"Extremadura","Levels 5 - 8","Unemployment","179.4"
"Ciudad de Ceuta","All Levels","Unemployment","309.6"
"Ciudad de Ceuta","Levels 0-2","Unemployment","444.2"
"Ciudad de Ceuta","Levels 3 - 4","Unemployment","204"
"Ciudad de Ceuta","Levels 5 - 8","Unemployment","131.7"
"Dytiki Ellada","All Levels","Unemployment","266.59999999999997"
"Dytiki Ellada","Levels 0-2","Unemployment","248.30000000000004"
"Dytiki Ellada","Levels 3 - 4","Unemployment","307"
"Dytiki Ellada","Levels 5 - 8","Unemployment","230.00000000000003"
"La Réunion","All Levels","Unemployment","273.59999999999997"
"La Réunion","Levels 0-2","Unemployment","377.99999999999994"
"La Réunion","Levels 3 - 4","Unemployment","286.40000000000003"
"La Réunion","Levels 5 - 8","Unemployment","97.8"
"Kentriki Makedonia","All Levels","Unemployment","250.7"
"Kentriki Makedonia","Levels 0-2","Unemployment","281"
"Kentriki Makedonia","Levels 3 - 4","Unemployment","278.70000000000005"
"Kentriki Makedonia","Levels 5 - 8","Unemployment","192.2"
"Attiki","All Levels","Unemployment","233.20000000000002"
"Attiki","Levels 0-2","Unemployment","337.70000000000005"
"Attiki","Levels 3 - 4","Unemployment","265.4"
"Attiki","Levels 5 - 8","Unemployment","158.29999999999998"
"Voreia Ellada","All Levels","Unemployment","247.2"
"Voreia Ellada","Levels 0-2","Unemployment","258.1"
"Voreia Ellada","Levels 3 - 4","Unemployment","280.09999999999997"
"Voreia Ellada","Levels 5 - 8","Unemployment","192.7"
"Mardin, Batman, Sirnak, Siirt","All Levels","Unemployment","251.40000000000006"
"Mardin, Batman, Sirnak, Siirt","Levels 0-2","Unemployment","262.5"
"Mardin, Batman, Sirnak, Siirt","Levels 3 - 4","Unemployment","245.19999999999996"
"Mardin, Batman, Sirnak, Siirt","Levels 5 - 8","Unemployment","213.9"
"Castilla-la Mancha","All Levels","Unemployment","254.79999999999995"
"Castilla-la Mancha","Levels 0-2","Unemployment","323.00000000000006"
"Castilla-la Mancha","Levels 3 - 4","Unemployment","238.3"
"Castilla-la Mancha","Levels 5 - 8","Unemployment","155.9"
"RUP FR - Régions ultrapériphériques françaises","All Levels","Unemployment","252.8"
"RUP FR - Régions ultrapériphériques françaises","Levels 0-2","Unemployment","355.5999999999999"
"RUP FR - Régions ultrapériphériques françaises","Levels 3 - 4","Unemployment","256.9"
"RUP FR - Régions ultrapériphériques françaises","Levels 5 - 8","Unemployment","93.4"
"Guadeloupe","All Levels","Unemployment","249.99999999999997"
"Guadeloupe","Levels 0-2","Unemployment","339.59999999999997"
"Guadeloupe","Levels 3 - 4","Unemployment","259.09999999999997"
"Guadeloupe","Levels 5 - 8","Unemployment","109.49999999999999"
"Sterea Ellada","All Levels","Unemployment","242"
"Sterea Ellada","Levels 0-2","Unemployment","221.3"
"Sterea Ellada","Levels 3 - 4","Unemployment","263.6"
"Sterea Ellada","Levels 5 - 8","Unemployment","231.20000000000002"
"Východné Slovensko","All Levels","Unemployment","161.29999999999998"
"Východné Slovensko","Levels 0-2","Unemployment","552.7"
"Východné Slovensko","Levels 3 - 4","Unemployment","140.1"
"Východné Slovensko","Levels 5 - 8","Unemployment","80.4"
"Región de Murcia","All Levels","Unemployment","241.2"
"Región de Murcia","Levels 0-2","Unemployment","303.2"
"Región de Murcia","Levels 3 - 4","Unemployment","248.9"
"Región de Murcia","Levels 5 - 8","Unemployment","137.6"
"Comunitat Valenciana","All Levels","Unemployment","235.5"
"Comunitat Valenciana","Levels 0-2","Unemployment","302.1"
"Comunitat Valenciana","Levels 3 - 4","Unemployment","238.89999999999998"
"Comunitat Valenciana","Levels 5 - 8","Unemployment","152.5"
"Ipeiros","All Levels","Unemployment","234.20000000000002"
"Ipeiros","Levels 0-2","Unemployment","225.29999999999998"
"Ipeiros","Levels 3 - 4","Unemployment","281.9"
"Ipeiros","Levels 5 - 8","Unemployment","185.79999999999998"
"Greece","All Levels","Unemployment","232.00000000000003"
"Greece","Levels 0-2","Unemployment","254.6"
"Greece","Levels 3 - 4","Unemployment","261.7"
"Greece","Levels 5 - 8","Unemployment","175.9"
"Thessalia","All Levels","Unemployment","230.1"
"Thessalia","Levels 0-2","Unemployment","222.2"
"Thessalia","Levels 3 - 4","Unemployment","257.20000000000005"
"Thessalia","Levels 5 - 8","Unemployment","202.7"
"Kentriki Ellada","All Levels","Unemployment","228.10000000000002"
"Kentriki Ellada","Levels 0-2","Unemployment","213.2"
"Kentriki Ellada","Levels 3 - 4","Unemployment","256"
"Kentriki Ellada","Levels 5 - 8","Unemployment","204.2"
"Centro (ES)","All Levels","Unemployment","229.49999999999997"
"Centro (ES)","Levels 0-2","Unemployment","302.99999999999994"
"Centro (ES)","Levels 3 - 4","Unemployment","210.39999999999998"
"Centro (ES)","Levels 5 - 8","Unemployment","142.4"
"Spain","All Levels","Unemployment","220.50000000000003"
"Spain","Levels 0-2","Unemployment","306.9"
"Spain","Levels 3 - 4","Unemployment","218.7"
"Spain","Levels 5 - 8","Unemployment","132"
"Anatoliki Makedonia, Thraki","All Levels","Unemployment","223.89999999999998"
