GEO (Labels),Level ,Value Column Name,Value
"Ciudad de Ceuta","All Levels","Unemployment","37"
"Ciudad de Ceuta","All Levels","Variance Analysis (Unemployment)","2.3944954128440368"
"Ciudad de Ceuta","Levels 0-2","Unemployment","47.6"
"Ciudad de Ceuta","Levels 0-2","Variance Analysis (Unemployment)","1.5319148936170215"
"Ciudad de Ceuta","Levels 3 - 4","Unemployment","30.9"
"Ciudad de Ceuta","Levels 3 - 4","Variance Analysis (Unemployment)","2.1530612244897958"
"Ciudad de Ceuta","Levels 5 - 8","Unemployment","20.2"
"Ciudad de Ceuta","Levels 5 - 8","Variance Analysis (Unemployment)","2.1076923076923078"
"Andalucía","All Levels","Unemployment","34.4"
"Andalucía","All Levels","Variance Analysis (Unemployment)","2.1559633027522933"
"Andalucía","Levels 0-2","Unemployment","43.8"
"Andalucía","Levels 0-2","Variance Analysis (Unemployment)","1.329787234042553"
"Andalucía","Levels 3 - 4","Unemployment","31.2"
"Andalucía","Levels 3 - 4","Variance Analysis (Unemployment)","2.1836734693877546"
"Andalucía","Levels 5 - 8","Unemployment","20.2"
"Andalucía","Levels 5 - 8","Variance Analysis (Unemployment)","2.1076923076923078"
"Canarias","All Levels","Unemployment","32.6"
"Canarias","All Levels","Variance Analysis (Unemployment)","1.9908256880733948"
"Canarias","Levels 0-2","Unemployment","38.7"
"Canarias","Levels 0-2","Variance Analysis (Unemployment)","1.0585106382978724"
"Canarias","Levels 3 - 4","Unemployment","32.3"
"Canarias","Levels 3 - 4","Variance Analysis (Unemployment)","2.295918367346938"
"Canarias","Levels 5 - 8","Unemployment","22.3"
"Canarias","Levels 5 - 8","Variance Analysis (Unemployment)","2.430769230769231"
"Sur (ES)","All Levels","Unemployment","33.3"
"Sur (ES)","All Levels","Variance Analysis (Unemployment)","2.0550458715596327"
"Sur (ES)","Levels 0-2","Unemployment","42.4"
"Sur (ES)","Levels 0-2","Variance Analysis (Unemployment)","1.2553191489361701"
"Sur (ES)","Levels 3 - 4","Unemployment","30.4"
"Sur (ES)","Levels 3 - 4","Variance Analysis (Unemployment)","2.10204081632653"
"Sur (ES)","Levels 5 - 8","Unemployment","19.6"
"Sur (ES)","Levels 5 - 8","Variance Analysis (Unemployment)","2.0153846153846158"
"North Macedonia","All Levels","Unemployment","31"
"North Macedonia","All Levels","Variance Analysis (Unemployment)","1.8440366972477065"
"North Macedonia","Levels 0-2","Unemployment","37.8"
"North Macedonia","Levels 0-2","Variance Analysis (Unemployment)","1.0106382978723403"
"North Macedonia","Levels 3 - 4","Unemployment","31.4"
