"GEO (Labels)","Level ","Value Column Name","Value"
"Andalucía","All Levels","Unemployment","315.8"
"Andalucía","All Levels","Variance Analysis (Unemployment)","2.1113300492610834"
"Andalucía","Levels 0-2","Unemployment","408.1000000000001"
"Andalucía","Levels 0-2","Variance Analysis (Unemployment)","1.2264048008728863"
"Andalucía","Levels 3 - 4","Unemployment","290.20000000000005"
"Andalucía","Levels 3 - 4","Variance Analysis (Unemployment)","2.1750547045951865"
"Andalucía","Levels 5 - 8","Unemployment","189.5"
"Andalucía","Levels 5 - 8","Variance Analysis (Unemployment)","2.08130081300813"
"Sur (ES)","All Levels","Unemployment","304.4"
"Sur (ES)","All Levels","Variance Analysis (Unemployment)","1.9990147783251226"
"Sur (ES)","Levels 0-2","Unemployment","393.09999999999997"
"Sur (ES)","Levels 0-2","Variance Analysis (Unemployment)","1.1445717403164208"
"Sur (ES)","Levels 3 - 4","Unemployment","282.7"
"Sur (ES)","Levels 3 - 4","Variance Analysis (Unemployment)","2.092997811816192"
"Sur (ES)","Levels 5 - 8","Unemployment","180.7"
"Sur (ES)","Levels 5 - 8","Variance Analysis (Unemployment)","1.9382113821138207"
"Canarias","All Levels","Unemployment","298.5"
"Canarias","All Levels","Variance Analysis (Unemployment)","1.9408866995073888"
"Canarias","Levels 0-2","Unemployment","374.20000000000005"
"Canarias","Levels 0-2","Variance Analysis (Unemployment)","1.0414620840152757"
"Canarias","Levels 3 - 4","Unemployment","283"
"Canarias","Levels 3 - 4","Variance Analysis (Unemployment)","2.096280087527352"
"Canarias","Levels 5 - 8","Unemployment","201.29999999999998"
"Canarias","Levels 5 - 8","Variance Analysis (Unemployment)","2.2731707317073164"
"Dytiki Makedonia","All Levels","Unemployment","289.9"
"Dytiki Makedonia","All Levels","Variance Analysis (Unemployment)","1.8561576354679798"
"Dytiki Makedonia","Levels 0-2","Unemployment","267.7"
"Dytiki Makedonia","Levels 0-2","Variance Analysis (Unemployment)","0.4604473540643752"
"Dytiki Makedonia","Levels 3 - 4","Unemployment","328.59999999999997"
"Dytiki Makedonia","Levels 3 - 4","Variance Analysis (Unemployment)","2.595185995623632"
"Dytiki Makedonia","Levels 5 - 8","Unemployment","249"
"Dytiki Makedonia","Levels 5 - 8","Variance Analysis (Unemployment)","3.0487804878048776"
"Ciudad de Melilla","All Levels","Unemployment","301.90000000000003"
"Ciudad de Melilla","All Levels","Variance Analysis (Unemployment)","1.974384236453202"
"Ciudad de Melilla","Levels 0-2","Unemployment","460.7000000000001"
"Ciudad de Melilla","Levels 0-2","Variance Analysis (Unemployment)","1.5133660665575563"
"Ciudad de Melilla","Levels 3 - 4","Unemployment","245.20000000000002"
"Ciudad de Melilla","Levels 3 - 4","Variance Analysis (Unemployment)","1.6827133479212255"
"Ciudad de Melilla","Levels 5 - 8","Unemployment","119.19999999999999"
"Ciudad de Melilla","Levels 5 - 8","Variance Analysis (Unemployment)","0.9382113821138208"
"North Macedonia","All Levels","Unemployment","278.1"
"North Macedonia","All Levels","Variance Analysis (Unemployment)","1.7399014778325124"
"North Macedonia","Levels 0-2","Unemployment","335.09999999999997"
"North Macedonia","Levels 0-2","Variance Analysis (Unemployment)","0.8281505728314236"
"North Macedonia","Levels 3 - 4","Unemployment","278.79999999999995"
"North Macedonia","Levels 3 - 4","Variance Analysis (Unemployment)","2.050328227571115"
"North Macedonia","Levels 5 - 8","Unemployment","218.3"
"North Macedonia","Levels 5 - 8","Variance Analysis (Unemployment)","2.549593495934959"
"Severna Makedonija","All Levels","Unemployment","278.1"
"Severna Makedonija","All Levels","Variance Analysis (Unemployment)","1.7399014778325124"
"Severna Makedonija","Levels 0-2","Unemployment","335.09999999999997"
"Severna Makedonija","Levels 0-2","Variance Analysis (Unemployment)","0.8281505728314236"
"Severna Makedonija","Levels 3 - 4","Unemployment","278.79999999999995"
"Severna Makedonija","Levels 3 - 4","Variance Analysis (Unemployment)","2.050328227571115"
"Severna Makedonija","Levels 5 - 8","Unemployment","218.3"
"Severna Makedonija","Levels 5 - 8","Variance Analysis (Unemployment)","2.549593495934959"
"Extremadura","All Levels","Unemployment","294.90000000000003"
"Extremadura","All Levels","Variance Analysis (Unemployment)","1.9054187192118228"
"Extremadura","Levels 0-2","Unemployment","369.1"
"Extremadura","Levels 0-2","Variance Analysis (Unemployment)","1.0136388434260775"
"Extremadura","Levels 3 - 4","Unemployment","259.8"
"Extremadura","Levels 3 - 4","Variance Analysis (Unemployment)","1.8424507658643323"
"Extremadura","Levels 5 - 8","Unemployment","179.4"
"Extremadura","Levels 5 - 8","Variance Analysis (Unemployment)","1.9170731707317072"
"Ciudad de Ceuta","All Levels","Unemployment","309.6"
"Ciudad de Ceuta","All Levels","Variance Analysis (Unemployment)","2.050246305418719"
"Ciudad de Ceuta","Levels 0-2","Unemployment","444.2"
