GEO (Labels),Level ,Value Column Name,Value
"Dytiki Makedonia","All Levels","Unemployment","31.3"
"Dytiki Makedonia","Levels 0-2","Unemployment","31"
"Dytiki Makedonia","Levels 3 - 4","Unemployment","35"
"Dytiki Makedonia","Levels 5 - 8","Unemployment","25.3"
"Ciudad de Melilla","All Levels","Unemployment","30.8"
"Ciudad de Melilla","Levels 0-2","Unemployment","41.6"
"Ciudad de Melilla","Levels 3 - 4","Unemployment","24.6"
"Ciudad de Melilla","Levels 5 - 8","Unemployment","20.2"
"Dytiki Ellada","All Levels","Unemployment","29.8"
"Dytiki Ellada","Levels 0-2","Unemployment","28.9"
"Dytiki Ellada","Levels 3 - 4","Unemployment","34.6"
"Dytiki Ellada","Levels 5 - 8","Unemployment","23.4"
"Mardin, Batman, Sirnak, Siirt","All Levels","Unemployment","28.1"
"Mardin, Batman, Sirnak, Siirt","Levels 0-2","Unemployment","28.4"
"Mardin, Batman, Sirnak, Siirt","Levels 3 - 4","Unemployment","29.7"
"Mardin, Batman, Sirnak, Siirt","Levels 5 - 8","Unemployment","25.3"
"Andalucía","All Levels","Unemployment","28.9"
"Andalucía","Levels 0-2","Unemployment","37.5"
"Andalucía","Levels 3 - 4","Unemployment","26.2"
"Andalucía","Levels 5 - 8","Unemployment","17.7"
"Sur (ES)","All Levels","Unemployment","27.5"
"Sur (ES)","Levels 0-2","Unemployment","35.9"
"Sur (ES)","Levels 3 - 4","Unemployment","24.9"
"Sur (ES)","Levels 5 - 8","Unemployment","16.6"
"Extremadura","All Levels","Unemployment","27.5"
"Extremadura","Levels 0-2","Unemployment","34.1"
"Extremadura","Levels 3 - 4","Unemployment","24.7"
"Extremadura","Levels 5 - 8","Unemployment","17.2"
"Thessalia","All Levels","Unemployment","25.5"
"Thessalia","Levels 0-2","Unemployment","28.8"
"Thessalia","Levels 3 - 4","Unemployment","26.1"
"Thessalia","Levels 5 - 8","Unemployment","21.4"
"Canarias","All Levels","Unemployment","26.1"
"Canarias","Levels 0-2","Unemployment","33.2"
"Canarias","Levels 3 - 4","Unemployment","25.7"
"Canarias","Levels 5 - 8","Unemployment","16.8"
"Sterea Ellada","All Levels","Unemployment","25"
"Sterea Ellada","Levels 0-2","Unemployment","23.2"
"Sterea Ellada","Levels 3 - 4","Unemployment","26.1"
"Sterea Ellada","Levels 5 - 8","Unemployment","25.5"
"Kentriki Makedonia","All Levels","Unemployment","24.5"
"Kentriki Makedonia","Levels 0-2","Unemployment","28"
"Kentriki Makedonia","Levels 3 - 4","Unemployment","26.8"
"Kentriki Makedonia","Levels 5 - 8","Unemployment","19"
"Voreia Ellada","All Levels","Unemployment","24.8"
"Voreia Ellada","Levels 0-2","Unemployment","26.4"
"Voreia Ellada","Levels 3 - 4","Unemployment","27.5"
"Voreia Ellada","Levels 5 - 8","Unemployment","19.6"
"Attiki","All Levels","Unemployment","23"
"Attiki","Levels 0-2","Unemployment","32.4"
"Attiki","Levels 3 - 4","Unemployment","26.6"
"Attiki","Levels 5 - 8","Unemployment","16"
"Ipeiros","All Levels","Unemployment","24.4"
"Ipeiros","Levels 0-2","Unemployment","24.7"
"Ipeiros","Levels 3 - 4","Unemployment","26.6"
"Ipeiros","Levels 5 - 8","Unemployment","21.2"
"Kentriki Ellada","All Levels","Unemployment","24.5"
"Kentriki Ellada","Levels 0-2","Unemployment","24.3"
"Kentriki Ellada","Levels 3 - 4","Unemployment","26.4"
"Kentriki Ellada","Levels 5 - 8","Unemployment","21.3"
"North Macedonia","All Levels","Unemployment","23.7"
"North Macedonia","Levels 0-2","Unemployment","29.2"
"North Macedonia","Levels 3 - 4","Unemployment","23.7"
"North Macedonia","Levels 5 - 8","Unemployment","19.4"
"Severna Makedonija","All Levels","Unemployment","23.7"
"Severna Makedonija","Levels 0-2","Unemployment","29.2"
"Severna Makedonija","Levels 3 - 4","Unemployment","23.7"
"Severna Makedonija","Levels 5 - 8","Unemployment","19.4"
"Greece","All Levels","Unemployment","23.6"
"Greece","Levels 0-2","Unemployment","26.4"
"Greece","Levels 3 - 4","Unemployment","26.2"
"Greece","Levels 5 - 8","Unemployment","18"
"Guadeloupe","All Levels","Unemployment","23.8"
"Guadeloupe","Levels 0-2","Unemployment","32"
"Guadeloupe","Levels 3 - 4","Unemployment","26.1"
"Guadeloupe","Levels 5 - 8","Unemployment","9.6"
"Mayotte","All Levels","Unemployment","29.7"
"Mayotte","Levels 0-2","Unemployment","38.4"
"Mayotte","Levels 3 - 4","Unemployment","23.4"
"Mayotte","Levels 5 - 8","Unemployment",
"Ciudad de Ceuta","All Levels","Unemployment","24.9"
"Ciudad de Ceuta","Levels 0-2","Unemployment","37.7"
"Ciudad de Ceuta","Levels 3 - 4","Unemployment","15.5"
"Ciudad de Ceuta","Levels 5 - 8","Unemployment","12.4"
"Anatoliki Makedonia, Thraki","All Levels","Unemployment","22.8"
"Anatoliki Makedonia, Thraki","Levels 0-2","Unemployment","22"
"Anatoliki Makedonia, Thraki","Levels 3 - 4","Unemployment","26.4"
"Anatoliki Makedonia, Thraki","Levels 5 - 8","Unemployment","18.7"
"Kriti","All Levels","Unemployment","22.6"
"Kriti","Levels 0-2","Unemployment","23.4"
