Product Name,Product ID,Value Column Name,Value
"Staples in misc. colors","OFF-AR-10003631","Quantity","14"
"Staples in misc. colors","OFF-AR-10003631","Discount","0"
"Staples in misc. colors","OFF-AR-10003631","Unit Price","3.872"
"Staples in misc. colors","OFF-AR-10003631","Total Discount","0"
"Staples in misc. colors","OFF-AR-10003631","Gross Sales","54.208"
"Staples in misc. colors","OFF-AR-10003631","Sales","54.208"
"Staples in misc. colors","OFF-AR-10003631","Cost","45.1992"
"Staples in misc. colors","OFF-AR-10003631","Profit / (Loss)","9.0088"
"Staples in misc. colors","OFF-AR-10003631","% Profit / (Loss)","0.16618949232585598"
"Staples in misc. colors","OFF-AR-10004790","Quantity","2"
"Staples in misc. colors","OFF-AR-10004790","Discount","0"
"Staples in misc. colors","OFF-AR-10004790","Unit Price","9.576"
"Staples in misc. colors","OFF-AR-10004790","Total Discount","0"
"Staples in misc. colors","OFF-AR-10004790","Gross Sales","19.152"
"Staples in misc. colors","OFF-AR-10004790","Sales","19.152"
"Staples in misc. colors","OFF-AR-10004790","Cost","17.755"
"Staples in misc. colors","OFF-AR-10004790","Profit / (Loss)","1.397000000000002"
"Staples in misc. colors","OFF-AR-10004790","% Profit / (Loss)","0.07294277360066834"
"Staples","OFF-FA-10003021","Quantity","8"
"Staples","OFF-FA-10003021","Discount","0"
"Staples","OFF-FA-10003021","Unit Price","1.504"
"Staples","OFF-FA-10003021","Total Discount","0"
"Staples","OFF-FA-10003021","Gross Sales","12.032"
"Staples","OFF-FA-10003021","Sales","12.032"
"Staples","OFF-FA-10003021","Cost","9.576"
"Staples","OFF-FA-10003021","Profit / (Loss)","2.4559999999999995"
"Staples","OFF-FA-10003021","% Profit / (Loss)","0.2041223404255319"
"Staples","OFF-FA-10002975","Quantity","5"
"Staples","OFF-FA-10002975","Discount","0"
"Staples","OFF-FA-10002975","Unit Price","3.024"
"Staples","OFF-FA-10002975","Total Discount","0"
"Staples","OFF-FA-10002975","Gross Sales","15.12"
"Staples","OFF-FA-10002975","Sales","15.12"
"Staples","OFF-FA-10002975","Cost","10.006"
"Staples","OFF-FA-10002975","Profit / (Loss)","5.113999999999999"
"Staples","OFF-FA-10002975","% Profit / (Loss)","0.3382275132275132"
