Category,Value Column Name,Value
"Accessories","Target","22526"
"Accessories","Actuals","22537"
"Accessories","Actuals - Target","11"
"Accessories","(Actuals - Target)%","0.000488324602681346"
"Appliances","Target","11410"
"Appliances","Actuals","11752"
"Appliances","Actuals - Target","342"
"Appliances","(Actuals - Target)%","0.02997370727432077"
"Art","Target","2630"
"Art","Actuals","2673"
"Art","Actuals - Target","43"
"Art","(Actuals - Target)%","0.01634980988593156"
"Binders","Target","24694"
"Binders","Actuals","24352"
"Binders","Actuals - Target","-342"
"Binders","(Actuals - Target)%","-0.013849518101563131"
"Bookcases","Target","8280"
"Bookcases","Actuals","8280"
"Bookcases","Actuals - Target","0"
"Bookcases","(Actuals - Target)%","0"
"Chairs","Target","37321"
"Chairs","Actuals","37312"
"Chairs","Actuals - Target","-9"
"Chairs","(Actuals - Target)%","-0.00024115109455802362"
"Copiers","Target","16660"
"Copiers","Actuals","16660"
"Copiers","Actuals - Target","0"
"Copiers","(Actuals - Target)%","0"
"Envelopes","Target","1886"
"Envelopes","Actuals","1883"
"Envelopes","Actuals - Target","-3"
"Envelopes","(Actuals - Target)%","-0.0015906680805938495"
"Fasteners","Target","378"
"Fasteners","Actuals","368"
"Fasteners","Actuals - Target","-10"
"Fasteners","(Actuals - Target)%","-0.026455026455026457"
"Furnishings","Target","10887"
"Furnishings","Actuals","10845"
"Furnishings","Actuals - Target","-42"
"Furnishings","(Actuals - Target)%","-0.003857812069440617"
"Labels","Target","1265"
"Labels","Actuals","1272"
"Labels","Actuals - Target","7"
"Labels","(Actuals - Target)%","0.005533596837944664"
"Machines","Target","14079"
"Machines","Actuals","14079"
"Machines","Actuals - Target","0"
"Machines","(Actuals - Target)%","0"
"Paper","Target","7800"
"Paper","Actuals","8056"
"Paper","Actuals - Target","256"
"Paper","(Actuals - Target)%","0.03282051282051282"
"Phones","Target","22574"
"Phones","Actuals","22639"
"Phones","Actuals - Target","65"
"Phones","(Actuals - Target)%","0.002879418800389829"
"Storage","Target","19749"
"Storage","Actuals","21051"
"Storage","Actuals - Target","1302"
"Storage","(Actuals - Target)%","0.06592738872854322"
"Supplies","Target","4265"
"Supplies","Actuals","4309"
"Supplies","Actuals - Target","44"
"Supplies","(Actuals - Target)%","0.010316529894490035"
"Tables","Target","35966"
"Tables","Actuals","35141"
"Tables","Actuals - Target","-825"
"Tables","(Actuals - Target)%","-0.022938330645609743"
