Region,Country,Month,Value Column Name,Value
"Europe","Austria","January","PY in millions","1600000"
"Europe","Austria","January","PL in Millions","2021000"
"Europe","Austria","January","AC In  millions","2964000"
"Europe","Austria","January","AC In  millions - PY in millions","1364000"
"Europe","Austria","January","(AC In  millions - PY in millions)%","0.8525"
"Europe","Austria","January","AC In  millions - PL in Millions","943000"
"Europe","Austria","January","(AC In  millions - PL in Millions)%","0.46660069272637306"
"Europe","Austria","January","PL in Millions - PY in millions","421000"
"Europe","Austria","January","(PL in Millions - PY in millions)%","0.263125"
"Europe","Austria","October","PY in millions","2918000"
"Europe","Austria","October","PL in Millions","3000000"
"Europe","Austria","October","AC In  millions","1986000"
"Europe","Austria","October","AC In  millions - PY in millions","-932000"
"Europe","Austria","October","(AC In  millions - PY in millions)%","-0.31939684715558603"
"Europe","Austria","October","AC In  millions - PL in Millions","-1014000"
"Europe","Austria","October","(AC In  millions - PL in Millions)%","-0.338"
"Europe","Austria","October","PL in Millions - PY in millions","82000"
"Europe","Austria","October","(PL in Millions - PY in millions)%","0.02810143934201508"
"Europe","Austria","November","PY in millions","560000"
"Europe","Austria","November","PL in Millions","590000"
"Europe","Austria","November","AC In  millions","559000"
"Europe","Austria","November","AC In  millions - PY in millions","-1000"
"Europe","Austria","November","(AC In  millions - PY in millions)%","-0.0017857142857142857"
"Europe","Austria","November","AC In  millions - PL in Millions","-31000"
"Europe","Austria","November","(AC In  millions - PL in Millions)%","-0.05254237288135592"
"Europe","Austria","November","PL in Millions - PY in millions","30000"
"Europe","Austria","November","(PL in Millions - PY in millions)%","0.05357142857142857"
"Europe","Belgium","January","PY in millions","375000"
"Europe","Belgium","January","PL in Millions","257000"
"Europe","Belgium","January","AC In  millions","136000"
"Europe","Belgium","January","AC In  millions - PY in millions","-239000"
"Europe","Belgium","January","(AC In  millions - PY in millions)%","-0.6373333333333333"
"Europe","Belgium","January","AC In  millions - PL in Millions","-121000"
"Europe","Belgium","January","(AC In  millions - PL in Millions)%","-0.47081712062256803"
"Europe","Belgium","January","PL in Millions - PY in millions","-118000"
"Europe","Belgium","January","(PL in Millions - PY in millions)%","-0.31466666666666665"
"Europe","Belgium","October","PY in millions","100000"
"Europe","Belgium","October","PL in Millions","200000"
"Europe","Belgium","October","AC In  millions","290000"
"Europe","Belgium","October","AC In  millions - PY in millions","190000"
"Europe","Belgium","October","(AC In  millions - PY in millions)%","1.9"
"Europe","Belgium","October","AC In  millions - PL in Millions","90000"
"Europe","Belgium","October","(AC In  millions - PL in Millions)%","0.45"
"Europe","Belgium","October","PL in Millions - PY in millions","100000"
"Europe","Belgium","October","(PL in Millions - PY in millions)%","1"
"Europe","Belgium","November","PY in millions","56000"
"Europe","Belgium","November","PL in Millions","72000"
"Europe","Belgium","November","AC In  millions","58000"
"Europe","Belgium","November","AC In  millions - PY in millions","2000"
"Europe","Belgium","November","(AC In  millions - PY in millions)%","0.03571428571428571"
"Europe","Belgium","November","AC In  millions - PL in Millions","-14000"
"Europe","Belgium","November","(AC In  millions - PL in Millions)%","-0.19444444444444448"
"Europe","Belgium","November","PL in Millions - PY in millions","16000"
"Europe","Belgium","November","(PL in Millions - PY in millions)%","0.2857142857142857"
"Europe","France","January","PY in millions","350000"
"Europe","France","January","PL in Millions","539000"
"Europe","France","January","AC In  millions","134000"
"Europe","France","January","AC In  millions - PY in millions","-216000"
"Europe","France","January","(AC In  millions - PY in millions)%","-0.6171428571428571"
"Europe","France","January","AC In  millions - PL in Millions","-405000"
"Europe","France","January","(AC In  millions - PL in Millions)%","-0.75139146567718"
"Europe","France","January","PL in Millions - PY in millions","189000"
"Europe","France","January","(PL in Millions - PY in millions)%","0.54"
"Europe","France","October","PY in millions","800000"
"Europe","France","October","PL in Millions","800000"
"Europe","France","October","AC In  millions","520000"
"Europe","France","October","AC In  millions - PY in millions","-280000"
"Europe","France","October","(AC In  millions - PY in millions)%","-0.35"
"Europe","France","October","AC In  millions - PL in Millions","-280000"
"Europe","France","October","(AC In  millions - PL in Millions)%","-0.35"
"Europe","France","October","PL in Millions - PY in millions","0"
"Europe","France","October","(PL in Millions - PY in millions)%","0"
"Europe","France","November","PY in millions","140000"
"Europe","France","November","PL in Millions","149000"
"Europe","France","November","AC In  millions","134000"
"Europe","France","November","AC In  millions - PY in millions","-6000"
"Europe","France","November","(AC In  millions - PY in millions)%","-0.04285714285714286"
"Europe","France","November","AC In  millions - PL in Millions","-15000"
"Europe","France","November","(AC In  millions - PL in Millions)%","-0.10067114093959731"
"Europe","France","November","PL in Millions - PY in millions","9000"
"Europe","France","November","(PL in Millions - PY in millions)%","0.06428571428571428"
"Europe","Germany","January","PY in millions","1500000"
"Europe","Germany","January","PL in Millions","1600000"
"Europe","Germany","January","AC In  millions","1000000"
"Europe","Germany","January","AC In  millions - PY in millions","-500000"
"Europe","Germany","January","(AC In  millions - PY in millions)%","-0.33333333333333326"
"Europe","Germany","January","AC In  millions - PL in Millions","-600000"
