"Account Level 2","Value Column Name","Value"
"Software revenue","Sum of PY","265"
"Software revenue","Sum of AC","278"
"Software revenue","Sum of AC - Sum of PY","13"
"Software revenue","(Sum of AC - Sum of PY)%","0.049056603773584916"
"Revenue","Sum of PY","473"
"Revenue","Sum of AC","496"
"Revenue","Sum of AC - Sum of PY","23"
"Revenue","(Sum of AC - Sum of PY)%","0.048625792811839326"
"Consulting revenue","Sum of PY","121"
"Consulting revenue","Sum of AC","128"
"Consulting revenue","Sum of AC - Sum of PY","7"
"Consulting revenue","(Sum of AC - Sum of PY)%","0.05785123966942149"
"Cost of sales","Sum of PY","122"
"Cost of sales","Sum of AC","128"
"Cost of sales","Sum of AC - Sum of PY","6"
"Cost of sales","(Sum of AC - Sum of PY)%","0.04918032786885246"
"Selling and general administrative expenses","Sum of PY","97"
"Selling and general administrative expenses","Sum of AC","102"
"Selling and general administrative expenses","Sum of AC - Sum of PY","5"
"Selling and general administrative expenses","(Sum of AC - Sum of PY)%","0.05154639175257732"
"Research and development expenses","Sum of PY","78"
"Research and development expenses","Sum of AC","91"
"Research and development expenses","Sum of AC - Sum of PY","13"
"Research and development expenses","(Sum of AC - Sum of PY)%","0.16666666666666663"
"Support revenue","Sum of PY","87"
"Support revenue","Sum of AC","90"
"Support revenue","Sum of AC - Sum of PY","3"
"Support revenue","(Sum of AC - Sum of PY)%","0.034482758620689655"
"Other financial income,net","Sum of PY","34"
"Other financial income,net","Sum of AC","30"
"Other financial income,net","Sum of AC - Sum of PY","-4"
"Other financial income,net","(Sum of AC - Sum of PY)%","-0.1176470588235294"
"Income tax expenses","Sum of PY","23"
"Income tax expenses","Sum of AC","27"
"Income tax expenses","Sum of AC - Sum of PY","4"
"Income tax expenses","(Sum of AC - Sum of PY)%","0.17391304347826086"
"Other operating income","Sum of PY","33"
"Other operating income","Sum of AC","27"
"Other operating income","Sum of AC - Sum of PY","-6"
"Other operating income","(Sum of AC - Sum of PY)%","-0.18181818181818182"
"Income from discontinued operations","Sum of PY","6"
"Income from discontinued operations","Sum of AC","25"
"Income from discontinued operations","Sum of AC - Sum of PY","19"
"Income from discontinued operations","(Sum of AC - Sum of PY)%","3.166666666666666"
"Other operating expenses","Sum of PY","11"
"Other operating expenses","Sum of AC","10"
"Other operating expenses","Sum of AC - Sum of PY","-1"
"Other operating expenses","(Sum of AC - Sum of PY)%","-0.09090909090909091"
